titulo,articulo,fecha,autor,url,categoria
Under Dreams | 07 de Enero 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

Boreal | 28 de Febrero del 2025

Boreal | 21 de Marzo del 2025

Alma Con-Ciencia | 10 de Marzo 2025

Boreal | 07 de Marzo del 2025

Alma Con-Ciencia | 03 de Marzo 2025

Cumbres de Babel | 26 de Febrero del 2025

Aprender a Desaprender | 25 de Febrero 2025

Boreal | 21 de Febrero del 2025

Cumbres de Babel | 19 de Febrero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/under-dreams-07-de-enero-2025/264977,Zapotlán el Grande
Señal Informativa |05 de Diciembre del 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: Google Podcasts | RSS | Más

Preparan operativo de seguridad para el Día de la Virgen de Guadalupe en el Cerrito de la Virgen

Celebran el 64 aniversario del Centro Regional de Educación Normal con encuentro de bandas de guerra

Egresados del Centro Universitario del Sur ganan el Premio Jalisco de Periodismo en la categoría de reportaje

Del sur de Jalisco para el mundo, realizan charla sobre la más reciente producción de Netflix; Pedro Páramo

El Criadero |13 de Enero del 2025

Policromía | 31 de Diciembre del 2024

El Criadero |30 de Diciembre del 2024

Policromía | 24 de Diciembre del 2024

Mezclas Duras | 23 de Diciembre 2024

Teponaztli |23 de Diciembre del 2024

El Criadero |23 de Diciembre del 2024

Tren al Sur | 19 de Diciembre 2024

Puros Cuentos, Puros Comics |17 de Diciembre 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/senal-informativa-05-de-diciembre-del-2024/259346,Zapotlán el Grande
La Cáscara | 28 de Noviembre 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: Google Podcasts | RSS | Más

Boreal | 13 de Diciembre del 2024

El Tecolote Canta | 09 de Diciembre 2024

Mezclas Duras | 09 de Diciembre 2024

Alma Con-Ciencia | 09 de Diciembre 2024

Coloquio de los Perros | 06 de Diciembre 2024

Boreal | 06 de Diciembre del 2024

Aprender a Desaprender | 03 de Diciembre 2024

El Tecolote Canta | 02 de Diciembre 2024

Coloquio de los Perros | 29 de Noviembre 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/la-cascara-28-de-noviembre-2024/255498,Zapotlán el Grande
Subversiva | 10 de Enero 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

Este viernes arrancamos con la subversión

Hablaremos sobre la única mujer iberoamericana que ha obtenido el Premio Nobel de Literatura.

Boreal | 28 de Febrero del 2025

Boreal | 21 de Marzo del 2025

Alma Con-Ciencia | 10 de Marzo 2025

Boreal | 07 de Marzo del 2025

Alma Con-Ciencia | 03 de Marzo 2025

Cumbres de Babel | 26 de Febrero del 2025

Aprender a Desaprender | 25 de Febrero 2025

Boreal | 21 de Febrero del 2025

Cumbres de Babel | 19 de Febrero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/subversiva-10-de-enero-2025/264912,Zapotlán el Grande
Descarrilamiento de tren en Zapotiltic provoca cierre de carretera,"Durante las primeras horas de este viernes 20 de diciembre se reportó el descarrilamiento de tren a la altura de la Huescalapa en el municipio de Zapotiltic.

Fotografía: Redes sociales

Hasta el momento no hay pase de vehículos, por lo que deben trasladarse por el espacio conocido como Las Canoas (que es brecha) o bien conducirse hacia Tuxpan, en el cruce de 4 caminos y de ahí retornar.

Fotografía: Redes sociales

Por su parte el alcalde de Zapotiltic, Jorge Silva, acudió al lugar y mencionó que el cruce del ferrocarril por el municipio de Zapotilltic ha sido una de las peticiones que han realizado a las diversas autoridades para que se evite pasar por la zona, porque es una carretera muy transitada.

Hasta el momento, el tránsito de vehículos sigue obstruido pues se desconoce la hora que quedará habilitado.

Teponaztli |25 de Noviembre del 2024

El Criadero |25 de Noviembre del 2024

Señal Informativa |25 de Noviembre del 2024

Boreal | 15 de Noviembre 2024

Planeta Diversidad | 15 de Noviembre del 2024

Señal Informativa |15 de Noviembre del 2024

La Cáscara | 14 de Noviembre 2024

Tren al Sur | 14 de Noviembre 2024

XP |14 de Noviembre 2024

Mueren 3 trabajadores de bacheo de la SIOP tras volcadura en San Gabriel

Un nuevo centro universitario para el Sur, tarea para quien ocupe la Rectoría de la UdeG: Villanueva

”El oficio de construir"", documental homenaje a Raúl Padilla, llega a la Prepa de Zapotiltic

Zapotiltic abre administración con deudas y recorta nómina

Reforma catastral y más de 35 MDP en ingresos, el logro de la administración saliente en Tamazula

Mazamitla prevé recuperación y 100% de ocupación en Fiestas Patrias

Lecciones de un periodista: Omar García comparte las 10 cosas que debes saber al cursar esta carrera

Falta de oxígeno y luz solar causa muerte de peces en presa de Tapalpa

Tras presión ante la SEP, garantizan rehabilitación de escuela en tres semanas",,Ana Isabel González García,https://udgtv.com/noticias/descarrilamiento-de-tren-en-zapotiltic-provoca-cierre/252732,Zapotlán el Grande
Tren al Sur | 19 de Diciembre 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

El Criadero |13 de Enero del 2025

Policromía | 31 de Diciembre del 2024

El Criadero |30 de Diciembre del 2024

Policromía | 24 de Diciembre del 2024

Teponaztli |23 de Diciembre del 2024

El Criadero |23 de Diciembre del 2024

Teponaztli |16 de Diciembre del 2024

El Criadero |16 de Diciembre del 2024

Boreal | 13 de Diciembre del 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/tren-al-sur-19-de-diciembre-2024/258915,Zapotlán el Grande
Policromía | 10 de Diciembre del 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

Hoy es martes de #Policromía en #RadioUniversidadDeGuadalajara en #CiudadGuzmán

Hablaremos sobre un proyecto transformador en la colonia PROVIPO, en #ZapotlánElGrande

Este proyecto tiene como objetivo enseñar #HabilidadesParaLaVida a adolescentes, mujeres y adultos mayores, a través de talleres prácticos que promueven el bienestar personal y social.

Las invitadas de hoy son: Ana María del Toro, Esmeralda Cázares Álvarez y Elizabeth Ordóñez Cherris, quienes participaron en el taller de #CalidadDeVida con los adultos mayores de PROVIPO.

Ellas nos compartirán sus experiencias y cómo este proyecto está haciendo una gran diferencia en la vida de los habitantes de la colonia.

¡No te pierdas este programa lleno de historias inspiradoras y aprendizajes para una vida más plena y saludable!

Escúchas en #RadioUniversidaDeGuadalajara en #CiudadGuzmán

#HabilidadesParaLaVida #DesarrolloHumano #Bienestar #Provipo #CiudadGuzmán #RadioUniversidad #Policromía #CalidadDeVida #TransformaciónSocial #SaludMental #Talleres #Comunidad #Jalisco

Boreal | 13 de Diciembre del 2024

Planeta Diversidad | 13 de Diciembre del 2024

La Cáscara | 12 de Diciembre 2024

Psyheads - Sa. 12 Dic 2024

El Tecolote Canta | 09 de Diciembre 2024

Mezclas Duras | 09 de Diciembre 2024

Alma Con-Ciencia | 09 de Diciembre 2024

Coloquio de los Perros | 06 de Diciembre 2024

Boreal | 06 de Diciembre del 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/policromia-10-de-diciembre-del-2024/255511,Zapotlán el Grande
Señal Informativa |01 de Diciembre del 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: Google Podcasts | RSS | Más

Boreal | 13 de Diciembre del 2024

Planeta Diversidad | 13 de Diciembre del 2024

La Cáscara | 12 de Diciembre 2024

Psyheads - Sa. 12 Dic 2024

Policromía | 10 de Diciembre del 2024

El Tecolote Canta | 09 de Diciembre 2024

Mezclas Duras | 09 de Diciembre 2024

Alma Con-Ciencia | 09 de Diciembre 2024

Coloquio de los Perros | 06 de Diciembre 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/senal-informativa-01-de-diciembre-del-2024/255512,Zapotlán el Grande
XP |16 de Diciembre 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

El Criadero |13 de Enero del 2025

Policromía | 31 de Diciembre del 2024

Señal Informativa |31 de Diciembre del 2024

El Criadero |30 de Diciembre del 2024

Señal Informativa |30 de Diciembre del 2024

Señal Informativa |26 de Diciembre del 2024

Policromía | 24 de Diciembre del 2024

Señal Informativa |24 de Diciembre del 2024

Mezclas Duras | 23 de Diciembre 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/xp-16-de-diciembre-2024/259497,Zapotlán el Grande
XP |14 de Enero 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

Boreal | 28 de Febrero del 2025

Boreal | 21 de Marzo del 2025

Alma Con-Ciencia | 10 de Marzo 2025

Boreal | 07 de Marzo del 2025

Alma Con-Ciencia | 03 de Marzo 2025

Cumbres de Babel | 26 de Febrero del 2025

Aprender a Desaprender | 25 de Febrero 2025

Boreal | 21 de Febrero del 2025

Cumbres de Babel | 19 de Febrero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/xp-14-de-enero-2025/264997,Zapotlán el Grande
Señal Informativa |10 de Enero del 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: Google Podcasts | RSS | Más

Zapotlán el Grande destinará 17 millones de pesos adicionales a obra pública.

Los municipios de Zapotlán el Grande y Colima buscan fortalecer actividades conjuntas mediante su hermanamiento.

El Gobierno de Zapotiltic prioriza la rehabilitación de calles, redes de agua y drenaje, junto con el aumento del personal de seguridad pública.

El Municipio de Atoyac planea construir una planta potabilizadora para la comunidad de La Estancia y resolver el problema de abastecimiento.

Señal Informativa |31 de Enero del 2025

Señal Informativa |30 de Enero del 2025

Señal Informativa |29 de Enero del 2025

Señal Informativa |28 de Enero del 2025

Señal Informativa |27 de Enero del 2025

Señal Informativa |24 de Enero del 2025

Señal Informativa |23 de Enero del 2025

Señal Informativa |22 de Enero del 2025

Señal Informativa |21 de Enero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/senal-informativa-10-de-enero-del-2025/260170,Zapotlán el Grande
Cumbres de Babel | 05 de Febrero del 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: Google Podcasts | RSS | Más

Boreal | 28 de Febrero del 2025

Boreal | 21 de Marzo del 2025

Alma Con-Ciencia | 10 de Marzo 2025

Boreal | 07 de Marzo del 2025

Alma Con-Ciencia | 03 de Marzo 2025

Aprender a Desaprender | 25 de Febrero 2025

Boreal | 21 de Febrero del 2025

Aprender a Desaprender | 18 de Febrero 2025

Boreal | 14 de Febrero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/cumbres-de-babel-05-de-febrero-del-2025/264464,Zapotlán el Grande
Mezclas Duras | 16 de Diciembre 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

El Criadero |13 de Enero del 2025

Policromía | 31 de Diciembre del 2024

El Criadero |30 de Diciembre del 2024

Policromía | 24 de Diciembre del 2024

Teponaztli |23 de Diciembre del 2024

El Criadero |23 de Diciembre del 2024

Tren al Sur | 19 de Diciembre 2024

Teponaztli |16 de Diciembre del 2024

El Criadero |16 de Diciembre del 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/mezclas-duras-16-de-diciembre-2024/258916,Zapotlán el Grande
Señal Informativa |09 de Diciembre del 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: Google Podcasts | RSS | Más

La Gaceta de la Universidad de Guadalajara celebra su 50 aniversario con la publicación del libro “Una Memoria Viva con Futuro”

Se presenta el libro ""Innovaciones transdisciplinares: académicas en la tecnología de la naturaleza"" por académicos del CUSUR

El Centro Universitario del Sur presenta “El Libro Blanco de los Derechos Humanos”

Yalitza Aparicio presenta “Lo que nos hace humanos”, el primer libro traducido al Otomí

Boreal | 13 de Diciembre del 2024

Planeta Diversidad | 13 de Diciembre del 2024

La Cáscara | 12 de Diciembre 2024

Psyheads - Sa. 12 Dic 2024

Policromía | 10 de Diciembre del 2024

El Tecolote Canta | 09 de Diciembre 2024

Mezclas Duras | 09 de Diciembre 2024

Alma Con-Ciencia | 09 de Diciembre 2024

Coloquio de los Perros | 06 de Diciembre 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/senal-informativa-09-de-diciembre-del-2024/255521,Zapotlán el Grande
El Tecolote Canta | 20 de Enero 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

Hoy en entrevista Carmen Cardenal, leyenda de la música tradicional mexicana.

Señal Informativa |31 de Enero del 2025

Señal Informativa |30 de Enero del 2025

Cumbres de Babel | 29 de Enero del 2025

Señal Informativa |29 de Enero del 2025

Aprender a Desaprender | 28 de Enero 2025

Señal Informativa |28 de Enero del 2025

Señal Informativa |27 de Enero del 2025

Boreal | 24 de Enero del 2025

Señal Informativa |24 de Enero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/el-tecolote-canta-20-de-enero-2025/263211,Zapotlán el Grande
Volcán de Zapotlán | 16 de Enero del 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

Boreal | 28 de Febrero del 2025

Boreal | 21 de Marzo del 2025

Alma Con-Ciencia | 10 de Marzo 2025

Boreal | 07 de Marzo del 2025

Alma Con-Ciencia | 03 de Marzo 2025

Cumbres de Babel | 26 de Febrero del 2025

Aprender a Desaprender | 25 de Febrero 2025

Boreal | 21 de Febrero del 2025

Cumbres de Babel | 19 de Febrero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/volcan-de-zapotlan-16-de-enero-del-2025/264984,Zapotlán el Grande
