titulo,fecha,articulo,url,lugar,fecha_limpia
Este Viernes Santo no labora Limpia Pública de Xalapa,"Xalapa, Ver. 17/04/2025","El Ayuntamiento de Xalapa, a través de la Dirección de Limpia Pública, informó a la ciudadanía que este viernes 18 de abril no habrá servicio de recolección de basura en la ciudad. Lo anterior, con motivo del día de descanso obligatorio, por lo que el servicio se reanudará al día siguiente, sábado 19 de abril. Ese día se volverá a brindar atención a la ciudadanía con 53 rutas matutinas y 24 rutas vespertinas. En este sentido, la dependencia exhortó a la población xalapeña a no sacar sus residuos a la vía pública, con el fin de evitar problemas de contaminación y mantener la buena imagen de la ciudad.",https://www.alcalorpolitico.com/informacion/este-viernes-santo-no-labora-limpia-publica-de-xalapa-423699.html,"Xalapa, Ver",17/04/2025
Abasto garantizado para Semana Nacional de Vacunación: SESVER,"Veracruz, Ver. 17/04/2025","El abasto de medicamentos y vacunas en Veracruz está garantizado con más de 373 mil dosis disponibles para mantener activos los esquemas de inmunización, informó la Secretaría de Salud estatal. La dependencia anunció que esta semana recibió biológicos adicionales destinados a la Semana Nacional de Vacunación, que se realizará del 26 de abril al 3 de mayo en unidades médicas del Estado. “La protección de la salud en Veracruz está asegurada con un abasto de más de 373 mil dosis disponibles”, informó la dependencia estatal. Además, reportó que entre enero y marzo del presente año se aplicaron más de 600 mil dosis correspondientes a 14 tipos distintos de vacunas, destacando 414 mil 409 dosis contra la influenza y 38 mil 176 contra COVID-19. Compra emergente Este anuncio se da en medio de la controversia que ha generado el abasto de medicamentos oncológicos a nivel nacional. La presidenta Claudia Sheinbaum confirmó recientemente una compra emergente de estos medicamentos, luego de que la Secretaría de la Función Pública canceló una licitación federal tras detectar sobrecostos por 13 mil millones de pesos atribuibles a BIRMEX, empresa estatal encargada de la adquisición. Recientemente, la gobernadora de Veracruz, Rocío Nahle García, anunció que se reunió con autoridades del Sector Salud para garantizar el suministro de medicamentos oncológicos en el Centro Estatal de Cancerología (CECAN) “Dr. Miguel Dorantes Mesa”, particularmente durante los meses de abril y mayo. Ahora, la Secretaría de Salud confirmó que se cuenta con más de 373 mil dosis disponibles de medicamentos.",https://www.alcalorpolitico.com/informacion/abasto-garantizado-para-semana-nacional-de-vacunacion-sesver-423696.html,"Veracruz, Ver",17/04/2025
"Ante peligro constante, exigen paso seguro en vías del tren, en Río Blanco","Río Blanco, Ver. 17/04/2025","Habitantes de la colonia Las Palmas, en la congregación Vicente Guerrero, lamentaron la falta de acciones para contar con un paso seguro, pues el ferrocarril continúa siendo un obstáculo peligroso y cotidiano. Explicaron que el paso del tren por esta zona bloquea durante horas el cruce peatonal, obligando a los vecinos a arriesgarse al pasar por debajo o encima de los vagones para continuar su camino. Esta situación, que afecta a estudiantes, trabajadores, madres de familia y adultos mayores, ha sido denunciada en múltiples ocasiones ante Ferrocarriles del Sureste, sin que hasta ahora se haya dado una solución definitiva, como la construcción de un puente peatonal a desnivel que garantice el cruce seguro. Uno de los sectores más afectados es el estudiantado de la Universidad Pedagógica Nacional Unidad 304, quienes frecuentemente deben enfrentarse a esta barrera para asistir a clases. Sin embargo, el problema es generalizado: la comunidad entera vive con la incertidumbre de cuándo volverá a quedar atrapada porque el tren permanece detenido hasta por 2 horas. A través de redes sociales, se viralizó recientemente un video que muestra a varias personas sorteando los vagones detenidos, lo que ha vuelto a encender el debate y la indignación ciudadana. Los vecinos también han expresado su molestia hacia el alcalde Ricardo Pérez García, a quien acusan de no haber atendido la problemática. “Mientras él circula en auto, nosotros arriesgamos la vida a diario”, comentaron algunos de los afectados. La comunidad hizo un llamado urgente a las autoridades municipales, estatales y a la empresa ferroviaria para que prioricen este tema antes de que ocurra una tragedia. La seguridad de cientos de personas no puede seguir dependiendo de la suerte o la paciencia, recalcaron.",https://www.alcalorpolitico.com/informacion/ante-peligro-constante-exigen-paso-seguro-en-vias-del-tren-en-rio-blanco-423695.html,"Río Blanco, Ver",17/04/2025
"Policías denuncian presunto abuso laboral en Delegación de SSP, en Perote","Veracruz, Ver. 17/04/2025","En la Delegación de la Secretaría de Seguridad Pública (SSP) de Perote se denunciaron presuntos actos de abuso de poder y hostigamiento laboral por parte de la delegada Alicia Natividad Mortera, cuyo distintivo es “Hemi”. Elementos de la corporación, incluyendo a Juan Pablo Pérez Barrera, quien se identifica como integrante de la SSP, alzaron la voz para denunciar el ambiente laboral que califican como “infernal”, generado por la funcionaria. Según las denuncias, Mortera ha tratado de forma despectiva a sus subordinadas, insultándolas y amenazándolas. Esta situación habría llevado a varias policías a solicitar su baja debido a la presión constante y los presuntos abusos. Entre las afectadas mencionan a una compañera con distintivo “Yalit”, madre soltera y encargada del Enlace de Género, quien prefirió renunciar por temor. Otra compañera, con distintivo “Caoba”, quien se desempeñaba como cocinera oficial, también optó por darse de baja ante constantes gritos, agresiones verbales, humillaciones y amenazas. Pérez Barrera detalló que el 15 de abril del presente año, 2 compañeras que acudieron a realizar su trámite de baja fueron nuevamente víctimas de abusos, ya que fueron trasladadas en la batea de una camioneta a las instalaciones centrales de la SSP en la ciudad de Xalapa, donde fueron desarmadas y luego dejadas a su merced, sin ser regresadas a Perote como establece el protocolo. El propio Juan Pablo también se incluyó en la denuncia y anticipó su renuncia a la corporación debido a la misma situación de hostigamiento, señalando que la Delegada le ha negado asignaciones y que le grita frente a sus compañeros sin justificación alguna. Además, testifica a favor de las compañeras afectadas y señala que varios elementos temen represalias si denuncian. “Ya he presentado una denuncia ante el Departamento de Asuntos Internos y tiene conocimiento el subsecretario de Seguridad Pública, Capitán Gustavo Ricardo Romero Cuevas”, dijo. En la denuncia escrita también se señalan otros incidentes, como la negación de permiso de lactancia a una compañera, así como la presunta amenaza de la Delegada a un Fiscal para que recibiera la puesta a disposición de una motocicleta sin denuncia formal. Los denunciantes solicitaron el respaldo de la gobernadora Rocío Nahle García, para que se investigue el caso y se exija la destitución de Alicia Natividad Mortera, calificando como incongruente que una mujer en un cargo de poder maltrate a otras mujeres, especialmente madres solteras, hasta orillarlas a renunciar a su fuente de trabajo.",https://www.alcalorpolitico.com/informacion/policias-denuncian-presunto-abuso-laboral-en-delegacion-de-ssp-en-perote-423691.html,"Veracruz, Ver",17/04/2025
Sorprenden a 3 presuntos ladrones dentro de escuela; 2 son menores de edad,"San Andrés Tuxtla, Ver. 17/04/2025","Habitantes de la comunidad de Calería, municipio de en San Andrés Tuxtla, retuvieron a 3 presuntos ladrones y casi estuvieron a punto de lincharlos, luego que fueron sorprendidos intentando robar en la escuela primaria “Manuel Turrent”. Fue minutos antes de las 9 de la noche del miércoles cuando se reportó a la Policía Municipal y Estatal, sobre varias personas retenidas por intento de robo en una escuela de la citada localidad. Al arribar los elementos policiacos observaron que dentro uno de los salones se encontraban 3 personas –entre ellas 2 menores de edad– mismas que fueron señaladas de estar en el interior de la institución educativa, con la intención de cometer robo. Los pobladores indicaron que al menos otras 2 personas más escaparon, mismas que habrían sido perseguidas por la enardecida gente. Señalaron que no es la primera vez que dicha escuela ha sido objeto de robo, además que en una ocasión se provocó un incendio. Los retenidos señalaron a un sujeto con el alias de “Pepesca”, el cual también habría estado con ellos al momento que intentaron robar en la escuela, por lo que la Policía acudió a dicho domicilio donde quedó resguardado para una posible orden de cateo en las próximas horas. Finalmente los 2 menores de 10 y 14 años de edad, además del adulto de 26 años, fueron entregados a la policía para que fueran puestos a disposición de la autoridad correspondiente.",https://www.alcalorpolitico.com/informacion/sorprenden-a-3-presuntos-ladrones-dentro-de-escuela-2-son-menores-de-edad-423683.html,"San Andrés Tuxtla, Ver",17/04/2025
Creyentes abarrotan la Catedral de Córdoba durante misa del Jueves Santo,"Córdoba, Ver. 17/04/2025","Como símbolo de humildad, igualdad y vocación de servicio, el obispo de Córdoba, Eduardo Cirilo Carmona Ortega, realizó la ceremonia del lavatorio de pies, dentro de la misa del Jueves Santo para recordar la Cena del Señor. Religiosas, ministros, sacerdotes, acólitos fueron participes en este evento religioso de la llamada semana mayor en la Catedral de Córdoba, Inmaculada Concepción. La misa encabezada por Monseñor Eduardo Carmona fue abarrotada, en punto de la 18:00 horas dio inicio, el prelado estuvo acompañado del Vicario, Domingo Ortiz Medina y otros sacerdotes en esta importante celebración para la grey católica. A partir de las 20:00 horas estará expuesto el santísimo en el altar mayor y habrá jornadas de oración hasta la media noche. Mañana a las 10 de la mañana será el viacrucis por las principales calles del Centro Histórico y por la noche la procesión del silencio.",https://www.alcalorpolitico.com/informacion/creyentes-abarrotan-la-catedral-de-cordoba-durante-misa-del-jueves-santo-423725.html,"Córdoba, Ver",17/04/2025
"De nueva cuenta, critican a Jueza de Xalapa por caso de pensión alimenticia","Xalapa, Ver. 17/04/2025","La titular del Juzgado Décimo de Primera Instancia especializado en materia familiar del distrito judicial de Xalapa, Blanca Miriam Herrera Fragoso, ha sido nuevamente señalada por su actuación en un caso relacionado con pensiones alimenticias. En esta ocasión, dentro del expediente ordinario civil 972/2024/VI, fechado el 10 de abril del presente año, se le acusa de emitir un acuerdo que niega el derecho a recibir pensión alimenticia provisional –y en su momento definitiva– a 2 menores de edad, identificados por las iniciales E.G.A. y R.G.A., sin una fundamentación ni motivación clara en su resolución. Según los denunciantes, el acuerdo se reduce a un escueto razonamiento de apenas 3 líneas, lo cual ha generado críticas por falta de ética y profesionalismo. Además, se ha cuestionado la imparcialidad del proceso, al señalarse que la secretaria de Acuerdos del Juzgado, Laura Ostos Hernández, tendría una relación de amistad con la parte beneficiada por la resolución. Este nuevo caso se suma al antecedente de la misma Jueza, quien fue exhibida públicamente en semanas pasadas por ordenar el pago de una pensión alimenticia de tan sólo 5 pesos diarios para un infante, lo que provocó indignación y cuestionamientos hacia el actuar del Poder Judicial del Estado de Veracruz. Ambos casos dejan en entredicho la calidad de la justicia familiar en Veracruz, en particular respecto del derecho de la niñez a recibir una pensión digna y la necesidad de garantizar procesos judiciales con perspectiva de derechos humanos y género.",https://www.alcalorpolitico.com/informacion/de-nueva-cuenta-critican-a-jueza-de-xalapa-por-caso-de-pension-alimenticia-423690.html,"Xalapa, Ver",17/04/2025
Llega tigre rescatado a Zoológico de Veracruz,"Veracruz, Ver. 17/04/2025","A través sus redes sociales, Patricia Lobeira, alcaldesa de la Ciudad y Puerto, dio a conocer que un tigre macho de 4 años, será el nuevo integrante del Zoológico de Veracruz ""Miguel Ángel de Quevedo"", luego de ser rescatado. ""La Fiscalía lo acaba de rescatar y nos lo entregó para su resguardo. Aquí estará bien cuidado, pero sobre todo muy apapachado con el cariño de los veracruzanos"", describió la presidenta municipal. En ese sentido, invitó a la población a, encontrar un nombre para este nuevo integrante, el cual, según datos internos se encuentra en buenas condiciones. Cabe recordar que la tigresa de bengala ""Ronda"" falleció el 27 de marzo de 2025 en el zoológico “Miguel Ángel de Quevedo” de Veracruz. Tenía 16 años de edad y padecía insuficiencia renal crónica.",https://www.alcalorpolitico.com/informacion/llega-tigre-rescatado-a-zoologico-de-veracruz-423727.html,"Veracruz, Ver",17/04/2025
"A caballo y en lanchas, corporaciones de seguridad vigilan playas de Coatza","Coatzacoalcos, Ver. 17/04/2025","Elementos de Protección Civil y la Policía Estatal en coordinación con la Secretaría de Marina recorren la playa de Coatzacoalcos en lancha para atender cualquier emergencia. David Esponda Cruz, director municipal de P.C. informó que este fin de semana la vigilancia será redoblada porque la afluencia de ciudadanos es mayor. “Hemos tenido unos primeros días tranquilos y sin problema con la participación de diferentes instituciones públicas y privadas. La Policía Estatal tiene unidades marítimas que fueron designadas por la Gobernadora para que trabajaran y colaboraran. Hay gente de Protección Civil, Marina, Guardia Nacional. Todos colaboran para tener una Semana Santa con buenos resultados. Están los grupos voluntarios para que todos regresen a casa con bien”, dijo. Asimismo, recalcó que la responsabilidad de que no ocurra nada depende del ciudadano, quienes deben ser prudentes. “Si no sabemos nadar, no entrar (al mar). Si bebemos tampoco. Cuidar a los niños, no manejar cansados, con cinturón de seguridad. No deben entrar vehículos a la playa”, afirmó. Por su parte, Isidro Fernández Martínez, perteneciente a la unidad Marítima de la Policía Estatal de Proximidad, informó que ellos tienen una embarcación con 4 elementos con los que proporcionarán seguridad en las playas. “Que llamen directamente al 911, pero pues aquí estamos ubicando en diferentes módulos aquí en la playa y se está trabajando en la coordinación con la Marina y con Protección Civil del estado, hasta ahorita hay saldo blanco”, finalizó.",https://www.alcalorpolitico.com/informacion/a-caballo-y-en-lanchas-corporaciones-de-seguridad-vigilan-playas-de-coatza-423714.html,"Coatzacoalcos, Ver",17/04/2025
"Fiscalía violentó derecho a la justicia, a la verdad y a la búsqueda, señala la CNDH","Xalapa, Ver. 17/04/2025","De nueva cuenta la Comisión Nacional de los Derechos Humanos (CNDH), presidida por Rosario Piedra, determinó que la Fiscalía General del Estado (FGE), bajo el mando de Verónica Hernández, incurrió en violaciones a los derechos humanos, abriendo la posibilidad de que la Fiscal sea citada a comparecer por el Congreso local. De acuerdo con el organismo nacional, la FGE violentó el derecho de acceso a la justicia, a la verdad y a la búsqueda, por no investigar con debida diligencia la desaparición de una persona identificada como V. El caso, ocurrido en junio de 2014 en Coatzacoalcos, también afectó a sus familiares RVI, VI1 y VI2, quienes señalaron omisiones y dilaciones por parte de las autoridades ministeriales, según la Recomendación 046/2025. Tuvieron que impugnar Al igual que ha ocurrido con otros hechos, la CNDH resolvió el recurso de impugnación promovido por RVI luego de que la Fiscalía rechazó la Recomendación 004/2024 emitida por la Comisión Estatal de Derechos Humanos de Veracruz (CEDHV), en la que se acreditaron omisiones en la investigación del caso. “Una vez más nos está revictimizando y transgrediendo nuestros derechos humanos, obstaculizando con su rechazo el acceso a la impartición de justicia pronta y expedita”, denunció RVI ante la negativa de la FGE. La CEDHV documentó múltiples fallas en la investigación. Entre ellas, una dilación de más de 6 años en diligencias y la omisión de actuar conforme al Acuerdo 25/2011, que obliga a las fiscalías a realizar acciones inmediatas ante casos de desaparición. Según la recomendación estatal, las autoridades omitieron notificar la investigación a otras instancias, solicitaron apoyos de localización años después y no activaron protocolos como la búsqueda en hospitales, albergues o con organizaciones civiles. “La obligación de investigar no se cumple con una simple actuación formal o tardía”, advirtió la CNDH, concluyendo que la Fiscalía no desvirtuó las deficiencias señaladas por la CEDH. El expediente señala que la carpeta de investigación 1, abierta el 13 de junio de 2014, acumuló periodos de inactividad de hasta 2 años, lo que comprometió la eficacia de la indagatoria. “Fue hasta el 6 de octubre de 2017, es decir 3 años, 3 meses y 25 días después, que solicitó la realización de diligencias de campo en el lugar de los hechos”, se asienta en el análisis. La CNDH advirtió que, en caso de que la Fiscalía mantenga su negativa a aceptar la Recomendación 004/2024 se enviará copia del documento a la Comisión Estatal, para que, conforme a sus atribuciones, requiera a la titular de la FGE fundar, motivar y hacer pública su negativa, y solicite su comparecencia ante el Congreso local. Recomendación de la CEDH Cabe señalar que la CEDHV, presidida por Namiko Matzumoto, emitió la Recomendación 4/2024 por la omisión del deber de investigar con la debida diligencia un caso de desaparición. La queja inicial fue presentada el 12 de mayo de 2021 por V2 en la Delegación Regional de la CEDHV en Coatzacoalcos, basada en hechos ocurridos desde el 13 de junio de 2014, cuando V1 fue reportado como desaparecido. La relatoría de los hechos indica que el 13 de junio de 2014, V4 informó que sujetos se llevaron a su hermano V1. T1, testigo presencial, declaró que “eran como las 20 treinta horas de la noche... platicando con V1, cuando en esos momentos pasó en la calle Brisas del Golfo, una camioneta tipo Explorer color plateada, cerrada, con vidrios polarizados... se paró muy cerca de nosotros, cuando en esos momentos bajaron 4 sujetos con una pistola color negra, este sujeto se bajó gritando -súbete- y mi amigo V1 salió corriendo hacia la Teresa Morales... nada más lo subieron a él y rápido se subieron a la camioneta... se fueron hacia la colonia Teresa Morales”. De acuerdo con reportes periodísticos, el caso correspondería al caso de Julián Domínguez Nataré. Un testigo señaló que los sujetos responsables portaban armas y vestían como elementos de la Policía Naval.",https://www.alcalorpolitico.com/informacion/fiscalia-violento-derecho-a-la-justicia-a-la-verdad-y-a-la-busqueda-seniala-la-cndh-423709.html,"Xalapa, Ver",17/04/2025
